Variable,Correlation with NPV,Share of NPV variance explained
minutes_saved,0.7928,0.6286
steady_adoption,0.4776,0.2281
effort_person_weeks,-0.2781,0.0773
annual_run_cost,-0.1758,0.0309
build_rate,-0.1524,0.0232
sso_rework_cost,-0.1334,0.0178
