Percentile,Total build cost,Four-year NPV
P5,140992.5,-81196.11
P10,148459.41,-56353.91
P25,161826.37,-6261.99
P50,180823.1,54331.58
P75,202360.96,113532.3
P80,208010.76,127847.35
P90,222741.62,164775.29
P95,234739.88,191975.8
